City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Kuril'sk,45.2333,147.8833,27.75,93,29,9.69,RU,1613191006
Montepuez,-13.1256,38.9997,72.64,92,91,9.64,MZ,1613191007
Ilebo,-4.3167,20.5833,71.29,93,100,1.39,CD,1613191007
Nārsingi,18.0333,78.4333,77.0,57,42,4.61,IN,1613191007
Mizdah,31.4451,12.9801,49.06,58,0,4.27,LY,1613191007
Kāzerūn,29.6195,51.6541,61.23,34,0,1.32,IR,1613191007
Nome,64.5011,-165.4064,30.2,69,90,21.85,US,1613191007
Nanhai,30.1282,111.7784,70.0,56,0,6.11,CN,1613191007
Mandalgovi,45.7625,106.2708,10.09,80,100,10.18,MN,1613191007
Lagoa,39.05,-27.9833,59.79,79,100,34.9,PT,1613191008
Slave Lake,55.2834,-114.769,-11.2,77,1,4.61,CA,1613191008
Plérin,48.5425,-2.7798,28.99,72,100,5.99,FR,1613191008
Bonthe,7.5264,-12.505,76.12,90,0,3.76,SL,1613191058
Verkhnevilyuysk,63.4453,120.3167,-10.79,88,100,7.47,RU,1613191058
Nortelândia,-14.4547,-56.8028,71.65,91,99,4.5,BR,1613191058
Stokmarknes,68.5646,14.9108,32.0,75,100,7.0,NO,1613191058
Río Gallegos,-51.6226,-69.2181,50.0,62,0,3.44,AR,1613191058
Pachino,36.7186,15.0907,46.4,100,40,2.3,IT,1613191059
Faya,18.3851,42.4509,50.0,87,0,1.81,SA,1613191059
Katav-Ivanovsk,54.7531,58.1956,31.69,97,100,3.74,RU,1613191059
Simbahan,6.3032,120.5836,82.33,78,99,9.82,PH,1613191059
Zhezkazgan,47.8043,67.7144,18.7,96,0,7.7,KZ,1613191059
Guerrero Negro,27.9769,-114.0611,59.49,82,23,17.05,MX,1613190472
Inta,66.0317,60.1659,-21.1,87,95,4.52,RU,1613191059
Channel-Port aux Basques,47.5702,-59.1367,27.18,95,74,15.82,CA,1613191060
Natal,-5.795,-35.2094,78.8,83,20,4.61,BR,1613190815
Alta Floresta,-9.8756,-56.0861,70.99,99,100,3.71,BR,1613191060
Oddur,4.1213,43.8894,70.23,62,59,21.59,SO,1613191060
Pontal do Paraná,-25.6533,-48.5128,62.01,99,55,3.02,BR,1613191060
Muroto-misakicho,33.2833,134.15,62.6,63,75,3.44,JP,1613191060
Fairbanks,64.8378,-147.7164,-2.0,84,1,1.9,US,1613191050
Nagarote,12.2659,-86.5647,77.0,73,20,6.91,NI,1613191061
Carballo,43.213,-8.691,53.6,82,0,12.66,ES,1613191061
Tazovsky,67.4667,78.7,-34.89,82,73,6.29,RU,1613191061
Morondava,-20.2833,44.2833,78.73,77,98,14.97,MG,1613191061
Clarence Town,-32.5833,151.7833,71.6,94,90,19.57,AU,1613191061
Yatou,37.15,122.3833,54.01,54,8,10.78,CN,1613191062
‘Āhuimanu,21.4447,-157.8378,77.0,73,20,6.91,US,1613191062
Gazojak,41.1875,61.4036,46.18,67,0,8.5,TM,1613191062
Saldanha,-33.0117,17.9442,62.6,88,0,2.3,ZA,1613191062
Laramie,41.3114,-105.5911,-0.4,78,90,11.5,US,1613190979
Shīeli,44.1667,66.75,40.35,71,77,8.21,KZ,1613190863
San Policarpo,12.1791,125.5072,81.86,78,52,1.61,PH,1613191063
Eydhafushi,5.1033,73.0708,80.13,70,87,13.53,MV,1613191063
Opuwo,-18.0607,13.84,62.53,84,97,2.89,NA,1613191063
Morón,-34.6534,-58.6198,72.0,93,100,7.7,AR,1613190958
Yerbogachën,61.2767,108.0108,-16.17,86,79,3.51,RU,1613191064
Montrose,38.4166,-108.2673,41.0,60,65,1.99,US,1613191064
Coburg,50.2667,10.9667,14.0,95,3,6.24,DE,1613191065
Arlit,18.7369,7.3853,62.31,24,0,4.81,NE,1613191065
Takāb,36.4009,47.1133,35.42,65,100,1.66,IR,1613191066
Urengoy,65.9667,78.3667,-27.72,83,100,4.09,RU,1613191066
Port Lincoln,-34.7333,135.8667,68.45,61,21,12.59,AU,1613191066
Kungsbacka,57.4872,12.0761,12.2,73,0,4.61,SE,1613191066
Smidovich,48.6,133.8167,20.37,95,73,7.9,RU,1613191066
Cache Creek,50.8101,-121.3246,-7.01,84,75,3.44,CA,1613191067
Mandurah,-32.55,115.7,84.99,52,1,1.01,AU,1613191067
Laas,46.6166,10.7002,12.2,85,75,6.91,IT,1613191067
Awjilah,29.1081,21.2869,48.04,84,0,4.03,LY,1613191067
Hambantota,6.1241,81.1185,84.2,79,40,3.44,LK,1613191067
Viedma,-40.8135,-62.9967,69.01,85,100,12.48,AR,1613191067
Nizhniy Tsasuchey,50.5167,115.1333,2.62,82,0,15.75,RU,1613191067
Amapá,1.0,-52.0,72.32,98,100,2.57,BR,1613191068
Muisne,0.6,-80.0333,76.64,85,98,2.42,EC,1613191068
Eidfjord,60.4675,7.0719,3.99,49,0,4.0,NO,1613191068
Cabo San Lucas,22.8909,-109.9124,63.0,88,1,12.66,MX,1613191081
Bosaso,11.2842,49.1816,71.6,83,0,6.91,SO,1613191118
Arrondissement de Libourne,44.9167,-0.25,35.01,93,75,2.3,FR,1613191118
Urucará,-2.5364,-57.76,74.97,97,37,3.27,BR,1613191118
Muli,2.9167,73.5667,80.85,77,81,11.72,MV,1613191119
Kifrī,34.6959,44.9661,56.5,59,43,0.89,IQ,1613191119
Nicolás R Casillas,20.5333,-103.4667,57.2,33,1,2.68,MX,1613191119
Plastun,44.7561,136.2939,40.26,71,63,3.69,RU,1613191119
Ocós,14.5094,-92.1933,75.2,88,20,3.44,GT,1613191119
Verkhnetulomskiy,68.6073,31.7962,-22.0,69,20,1.14,RU,1613191120
Saint George,37.1041,-113.5841,53.01,43,1,2.08,US,1613190908
Xam Nua,20.4197,104.0439,74.5,52,74,1.07,LA,1613191120
Alofi,-19.0595,-169.9187,84.2,74,69,9.22,NU,1613191120
Haines Junction,60.7522,-137.5108,-16.6,76,0,1.14,CA,1613191120
Cheremshan,54.6667,51.5,32.18,97,100,14.54,RU,1613191120
Thinadhoo,0.5333,72.9333,82.69,70,67,11.18,MV,1613191120
Shamkhal-Termen,43.0339,47.3105,48.0,76,40,33.55,RU,1613191120
Daru,-9.0763,143.2092,85.42,71,60,1.72,PG,1613191121
Los Llanos de Aridane,28.6585,-17.9182,62.6,63,0,10.36,ES,1613191121
La Ronge,55.1001,-105.2842,-29.2,75,10,1.36,CA,1613191121
Dingle,10.9995,122.6711,85.03,75,14,7.76,PH,1613191121
Imbituba,-28.24,-48.6703,71.6,100,20,5.75,BR,1613191121
Moose Factory,51.2585,-80.6094,-13.0,84,20,5.75,CA,1613191121
Fort Nelson,58.8053,-122.7002,-11.2,84,1,2.3,CA,1613191122
Codrington,-38.2667,141.9667,66.2,56,1,11.97,AU,1613191122
Tarnos,43.5417,-1.4628,51.8,100,90,1.1,FR,1613191122
Kirando,-7.4167,30.6,72.61,81,97,2.57,TZ,1613191030
Vostok,46.4856,135.8833,28.9,96,100,3.91,RU,1613191123
Egvekinot,66.3167,-179.1667,-18.02,87,100,21.12,RU,1613191123
Fallon,39.4735,-118.7774,44.01,75,40,6.91,US,1613191123
Portland,45.5234,-122.6762,27.0,74,90,24.16,US,1613190969
Borzna,51.2546,32.4269,6.53,95,100,11.12,UA,1613191123
Mana,5.6592,-53.7767,77.31,88,31,12.1,GF,1613191124
Alanya,36.5438,31.9998,48.2,87,0,6.91,TR,1613191124
Mt. Pleasant,32.7941,-79.8626,44.01,100,90,10.51,US,1613191124
Acopiara,-6.0953,-39.4525,71.74,97,29,3.38,BR,1613191125
Tierra Colorada,17.1667,-99.5833,66.88,82,3,3.18,MX,1613191125
Pochutla,15.7432,-96.4661,75.99,79,10,3.0,MX,1613191125
Quelimane,-17.8786,36.8883,78.8,89,40,4.61,MZ,1613191126
Woodward,36.4337,-99.3904,8.6,85,90,4.61,US,1613191126
